AnimalID,Name,OutcomeType,AnimalType,AgeuponOutcome,Breed,Color,Sex,Neutered,Year,Month,Day,Hour,Minute
A716076,Has Name,Adoption,Cat,156,Hybrid,Seal,Male,Neutered,2015,11,27,17,12
A716636,Has Name,Transfer,Dog,104,Hybrid,White,Male,Neutered,2015,12,3,14,58
A707974,Has Name,Transfer,Cat,104,Hybrid,Blue,Female,Intact,2015,9,8,20,3
A681006,Has Name,Adoption,Dog,208,Hybrid,Black,Male,Neutered,2014,6,15,11,56
A584947,Has Name,Return_to_owner,Dog,572,Hybrid,White,Male,Neutered,2013,11,11,13,32
A624189,Has Name,Return_to_owner,Dog,156,Hybrid,Black,Male,Neutered,2014,5,6,17,8
A674311,Has Name,Adoption,Dog,18,Hybrid,White,Female,Neutered,2014,3,15,17,49
A683466,Has Name,Adoption,Dog,27,Hybrid,Buff,Male,Neutered,2014,7,22,17,2
A708080,No Name,Transfer,Cat,104,Hybrid,Black,Female,Unknown,2015,7,23,9,0
A640416,Has Name,Transfer,Dog,208,Hybrid,White,Female,Neutered,2014,9,6,18,57
A677877,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Female,Intact,2014,4,30,17,29
A687624,Has Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2014,12,8,14,16
A696292,Has Name,Return_to_owner,Dog,52,Hybrid,Blue,Male,Neutered,2015,2,6,11,58
A693332,No Name,Adoption,Dog,104,Hybrid,Black,Female,Neutered,2014,12,12,13,29
A709058,Has Name,Adoption,Cat,312,Hybrid,Orange,Male,Neutered,2015,8,30,15,47
A692897,Has Name,Return_to_owner,Dog,572,Hybrid,Gold,Male,Intact,2014,11,28,15,35
A693872,No Name,Euthanasia,Cat,416,Hybrid,Black,Male,Intact,2014,12,16,11,34
A701185,Has Name,Adoption,Dog,468,Hybrid,Black,Female,Neutered,2015,4,29,14,9
A652270,Has Name,Transfer,Dog,40,Hybrid,Brown,Female,Neutered,2013,12,19,11,35
A701641,Has Name,Transfer,Dog,208,Hybrid,Chocolate,Female,Neutered,2015,5,10,15,38
A705802,No Name,Transfer,Dog,9,Hybrid,Tricolor,Female,Unknown,2015,6,21,17,47
A693030,Has Name,Adoption,Cat,13,Hybrid,Orange,Male,Neutered,2014,12,17,17,31
A680720,No Name,Transfer,Cat,4,Hybrid,Black,Male,Intact,2014,6,6,18,18
A711598,Has Name,Return_to_owner,Dog,52,Hybrid,Tan,Female,Neutered,2015,9,19,16,19
A695483,Has Name,Return_to_owner,Cat,104,Hybrid,Brown,Male,Neutered,2015,1,20,17,48
A669699,No Name,Transfer,Cat,104,Hybrid,Black,Male,Intact,2013,12,29,13,55
A484945,Has Name,Transfer,Cat,364,Hybrid,Black,Male,Neutered,2015,5,31,0,0
A676606,Has Name,Transfer,Dog,18,Hybrid,Red,Male,Neutered,2014,4,18,12,2
A676224,Has Name,Adoption,Cat,260,Hybrid,Black,Male,Neutered,2014,4,29,16,34
A675932,Has Name,Adoption,Dog,52,Hybrid,Tricolor,Male,Neutered,2014,4,29,16,0
A701369,Has Name,Transfer,Dog,9,Hybrid,Black,Female,Intact,2015,4,29,12,15
A715280,Has Name,Adoption,Dog,9,Hybrid,Tricolor,Male,Neutered,2015,11,8,0,0
A683959,No Name,Transfer,Cat,2,Hybrid,Brown,Female,Unknown,2014,7,17,17,31
A670260,No Name,Euthanasia,Dog,624,Hybrid,Red,Female,Intact,2014,1,4,17,52
A697604,Has Name,Adoption,Dog,27,Hybrid,Black,Female,Neutered,2015,3,2,16,39
A647886,Has Name,Euthanasia,Dog,520,Hybrid,Red,Female,Intact,2015,3,26,12,25
A705036,Has Name,Transfer,Dog,52,Hybrid,Tan,Male,Neutered,2015,6,30,13,8
A717842,Has Name,Adoption,Dog,52,Hybrid,White,Male,Neutered,2015,12,23,18,10
A695823,Has Name,Adoption,Dog,4,Hybrid,White,Male,Neutered,2015,2,2,17,49
A681139,Has Name,Transfer,Dog,104,Hybrid,Black,Female,Intact,2014,8,4,13,35
A646980,Has Name,Transfer,Dog,104,Hybrid,Tan,Male,Neutered,2014,10,16,11,34
A671314,Has Name,Adoption,Dog,45,Hybrid,White,Male,Neutered,2014,2,16,11,53
A683676,Has Name,Adoption,Dog,104,Hybrid,Black,Male,Neutered,2014,7,18,18,21
A715627,Has Name,Euthanasia,Dog,260,Hybrid,White,Male,Intact,2015,11,29,12,53
A661986,Has Name,Adoption,Cat,13,Hybrid,Flame,Female,Neutered,2013,11,13,10,52
A688059,Has Name,Euthanasia,Cat,5,Hybrid,Brown,Female,Intact,2014,9,17,8,54
A717615,Has Name,Return_to_owner,Dog,208,Hybrid,Brown,Female,Neutered,2015,12,12,13,20
A709989,Has Name,Transfer,Cat,9,Hybrid,Black,Male,Intact,2015,8,26,13,15
A683293,Has Name,Adoption,Cat,9,Hybrid,Brown,Male,Neutered,2014,8,13,8,19
A664439,Has Name,Adoption,Dog,27,Hybrid,White,Male,Neutered,2013,12,20,13,4
A672762,Has Name,Adoption,Cat,45,Hybrid,Orange,Male,Neutered,2014,3,18,18,9
A688036,No Name,Transfer,Cat,104,Hybrid,Blue,Male,Neutered,2014,9,16,13,52
A679928,Has Name,Adoption,Cat,13,Hybrid,Black,Male,Neutered,2014,7,17,17,22
A697715,No Name,Transfer,Cat,104,Hybrid,Black,Female,Unknown,2015,2,28,9,0
A659731,Has Name,Return_to_owner,Dog,104,Hybrid,Cream,Female,Neutered,2014,5,22,12,5
A687344,Has Name,Adoption,Dog,104,Hybrid,Brown,Female,Neutered,2014,11,29,12,17
A693005,Has Name,Return_to_owner,Dog,52,Hybrid,Brown,Male,Neutered,2014,12,1,18,30
A690535,Has Name,Transfer,Cat,9,Hybrid,Brown,Male,Neutered,2014,11,30,13,59
A699574,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Male,Neutered,2015,3,31,16,50
A708073,No Name,Transfer,Cat,2,Hybrid,Blue,Male,Intact,2015,7,22,14,17
A690413,Has Name,Adoption,Cat,364,Hybrid,Black,Male,Neutered,2015,8,8,18,35
A677474,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Female,Neutered,2014,5,6,12,42
A669837,Has Name,Adoption,Cat,104,Hybrid,Blue,Male,Neutered,2014,2,10,18,49
A535484,Has Name,Adoption,Dog,260,Hybrid,White,Male,Neutered,2014,12,7,18,38
A696319,No Name,Euthanasia,Dog,624,Hybrid,Black,Male,Neutered,2015,2,5,12,4
A667407,Has Name,Adoption,Cat,9,Hybrid,Blue,Female,Neutered,2013,12,15,18,52
A716491,Has Name,Adoption,Dog,208,Hybrid,Tan,Male,Neutered,2015,11,28,17,10
A547088,Has Name,Adoption,Dog,312,Hybrid,Brown,Male,Neutered,2015,6,21,12,49
A716372,Has Name,Adoption,Dog,9,Hybrid,Red,Male,Neutered,2016,1,7,12,34
A676813,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Male,Neutered,2014,4,16,18,37
A682879,Has Name,Transfer,Cat,4,Hybrid,Blue,Female,Intact,2014,7,12,11,43
A703780,Has Name,Adoption,Dog,52,Hybrid,Black,Female,Neutered,2015,6,1,19,21
A712980,No Name,Transfer,Cat,1,Hybrid,Black,Male,Intact,2015,10,4,15,3
A669899,Has Name,Transfer,Dog,22,Hybrid,Red,Female,Neutered,2014,4,18,12,1
A703887,Has Name,Transfer,Cat,4,Hybrid,Tortie,Female,Intact,2015,6,13,14,59
A686705,No Name,Transfer,Cat,104,Hybrid,Black,Female,Intact,2014,8,26,9,0
A675940,No Name,Transfer,Cat,0,Hybrid,Brown,Male,Intact,2014,4,2,15,14
A681508,No Name,Transfer,Dog,13,Hybrid,Red,Male,Neutered,2014,6,28,14,21
A687069,Has Name,Adoption,Dog,18,Hybrid,Tan,Female,Neutered,2014,12,11,13,33
A697812,Has Name,Adoption,Cat,312,Hybrid,Calico,Female,Neutered,2015,3,8,17,25
A696438,Has Name,Return_to_owner,Dog,104,Hybrid,Tricolor,Male,Neutered,2015,6,22,15,4
A655516,Has Name,Transfer,Dog,104,Hybrid,Black,Female,Neutered,2013,12,8,15,42
A716316,Has Name,Adoption,Cat,18,Hybrid,Black,Male,Neutered,2015,12,12,17,43
A678847,Has Name,Adoption,Dog,4,Hybrid,Chocolate,Female,Neutered,2014,6,16,18,17
A664749,Has Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2013,11,4,16,39
A701041,Has Name,Return_to_owner,Cat,13,Hybrid,Brown,Female,Neutered,2015,7,10,17,32
A689132,Has Name,Adoption,Cat,9,Hybrid,Orange,Male,Neutered,2014,10,14,16,39
A714280,Has Name,Adoption,Cat,13,Hybrid,Black,Male,Neutered,2015,12,22,10,6
A699036,Has Name,Adoption,Dog,104,Hybrid,Chocolate,Female,Neutered,2015,4,7,14,18
A704944,Has Name,Return_to_owner,Dog,208,Hybrid,White,Female,Neutered,2016,1,28,14,3
A718762,Has Name,Transfer,Dog,40,Hybrid,Brown,Female,Neutered,2016,1,25,14,8
A701484,No Name,Transfer,Cat,3,Hybrid,Brown,Female,Unknown,2015,4,30,17,1
A688447,No Name,Transfer,Dog,36,Hybrid,White,Male,Intact,2014,9,28,18,50
A690025,Has Name,Transfer,Cat,9,Purebred,Blue,Female,Intact,2014,10,17,11,21
A716774,Has Name,Return_to_owner,Dog,156,Hybrid,Red,Male,Neutered,2015,11,25,11,49
A661823,Has Name,Adoption,Dog,52,Hybrid,White,Female,Neutered,2013,11,17,13,26
A709817,Has Name,Adoption,Dog,52,Hybrid,White,Male,Neutered,2015,8,16,16,40
A693807,Has Name,Return_to_owner,Dog,22,Hybrid,Brown,Male,Neutered,2014,12,17,18,10
A689246,Has Name,Transfer,Cat,104,Hybrid,Brown,Female,Neutered,2014,10,14,14,55
A704206,No Name,Transfer,Cat,2,Hybrid,Blue,Female,Unknown,2015,6,2,15,53
A714104,Has Name,Transfer,Dog,9,Hybrid,Brown,Female,Intact,2015,10,20,15,49
A679538,No Name,Transfer,Cat,52,Hybrid,Blue,Female,Unknown,2014,5,23,19,15
A690734,Has Name,Transfer,Dog,208,Hybrid,Tan,Female,Neutered,2014,11,2,11,30
A702233,Has Name,Euthanasia,Cat,40,Hybrid,Black,Male,Intact,2015,5,23,11,59
A682338,Has Name,Adoption,Dog,52,Hybrid,Black,Male,Neutered,2014,8,2,20,5
A674317,Has Name,Return_to_owner,Cat,572,Hybrid,Seal,Male,Neutered,2014,3,12,18,33
A708469,Has Name,Adoption,Dog,52,Hybrid,Black,Female,Neutered,2015,8,1,18,6
A707305,Has Name,Adoption,Cat,4,Hybrid,Blue,Male,Intact,2015,7,19,14,44
A683893,No Name,Return_to_owner,Cat,52,Hybrid,Black,Female,Neutered,2014,7,20,13,40
A716399,Has Name,Adoption,Cat,9,Hybrid,Blue,Male,Neutered,2015,12,23,18,49
A715717,Has Name,Return_to_owner,Dog,36,Hybrid,White,Male,Neutered,2015,11,13,18,26
A717520,Has Name,Return_to_owner,Dog,156,Hybrid,Blue,Female,Neutered,2015,12,9,18,59
A699512,Has Name,Adoption,Dog,52,Hybrid,Tan,Male,Neutered,2015,8,1,16,22
A700337,Has Name,Transfer,Dog,208,Hybrid,Blue,Male,Neutered,2015,4,19,17,52
A713324,Has Name,Transfer,Dog,104,Hybrid,Black,Male,Neutered,2015,10,12,14,38
A688264,Has Name,Adoption,Dog,52,Hybrid,Black,Female,Neutered,2015,1,21,16,39
A678921,Has Name,Euthanasia,Dog,624,Hybrid,Black,Male,Neutered,2014,5,15,16,37
A677949,Has Name,Adoption,Dog,104,Hybrid,Black,Female,Neutered,2014,5,8,15,22
A664093,Has Name,Transfer,Dog,260,Hybrid,Black,Female,Neutered,2013,10,26,11,0
A719197,Has Name,Transfer,Dog,52,Hybrid,Fawn,Male,Neutered,2016,2,5,17,44
A690075,No Name,Transfer,Cat,31,Hybrid,Lilac,Male,Intact,2014,10,14,9,0
A664571,No Name,Adoption,Cat,104,Hybrid,Torbie,Female,Neutered,2013,10,10,14,7
A681170,Has Name,Died,Cat,18,Hybrid,Orange,Female,Intact,2014,9,12,10,4
A698909,Has Name,Return_to_owner,Dog,208,Hybrid,White,Male,Neutered,2015,3,29,15,15
A705770,Has Name,Adoption,Dog,260,Hybrid,Tan,Female,Neutered,2016,2,11,17,25
A673756,No Name,Transfer,Cat,9,Hybrid,Orange,Male,Intact,2014,3,2,14,44
A670209,No Name,Transfer,Dog,45,Hybrid,White,Male,Intact,2014,1,3,19,19
A662762,Has Name,Adoption,Cat,4,Hybrid,Calico,Female,Neutered,2013,10,8,18,15
A665310,Has Name,Adoption,Cat,13,Hybrid,Tortie,Female,Neutered,2013,12,1,15,27
A687266,Has Name,Adoption,Dog,52,Hybrid,Tan,Female,Neutered,2014,9,27,14,51
A690797,No Name,Euthanasia,Cat,624,Hybrid,Brown,Male,Intact,2014,10,26,12,46
A713588,Has Name,Adoption,Dog,416,Hybrid,Black,Male,Neutered,2016,2,21,18,27
A677179,Has Name,Return_to_owner,Dog,156,Hybrid,Black,Female,Neutered,2014,5,1,11,12
A686366,No Name,Transfer,Cat,0,Hybrid,Blue,Male,Intact,2014,8,20,18,42
A672735,Has Name,Transfer,Dog,52,Hybrid,White,Female,Intact,2014,3,16,13,37
A688407,Has Name,Return_to_owner,Dog,468,Hybrid,Black,Male,Neutered,2014,9,19,11,45
A701191,Has Name,Return_to_owner,Dog,4,Hybrid,Black,Male,Neutered,2015,4,26,18,55
A685224,Has Name,Adoption,Dog,52,Hybrid,Black,Male,Neutered,2014,8,16,14,55
A656434,Has Name,Adoption,Cat,728,Hybrid,Flame,Female,Neutered,2013,12,19,13,46
A685335,No Name,Transfer,Cat,13,Hybrid,Black,Female,Unknown,2014,8,7,9,0
A695169,Has Name,Adoption,Dog,104,Hybrid,Tan,Female,Neutered,2015,6,8,13,8
A704336,No Name,Transfer,Cat,52,Hybrid,Orange,Female,Unknown,2015,6,4,9,0
A707480,Has Name,Return_to_owner,Dog,156,Hybrid,Brown,Male,Neutered,2015,7,24,17,55
A714777,Has Name,Adoption,Dog,22,Hybrid,Tricolor,Female,Neutered,2015,10,29,19,18
A689943,Has Name,Adoption,Cat,9,Hybrid,Black,Female,Neutered,2014,10,15,17,19
A665362,Has Name,Transfer,Cat,9,Hybrid,Orange,Male,Intact,2013,10,25,11,17
A683579,No Name,Adoption,Cat,13,Hybrid,White,Male,Neutered,2014,7,16,17,5
A714555,Has Name,Return_to_owner,Dog,52,Hybrid,Black,Male,Intact,2015,10,25,15,0
A675166,No Name,Euthanasia,Cat,156,Hybrid,Brown,Male,Intact,2014,3,24,16,22
A592335,Has Name,Adoption,Dog,260,Hybrid,Tan,Male,Neutered,2015,8,30,16,19
A632333,Has Name,Adoption,Dog,52,Hybrid,Blue,Male,Neutered,2013,10,9,18,38
A669761,Has Name,Transfer,Dog,36,Hybrid,Brown,Female,Neutered,2014,3,23,17,32
A666332,No Name,Adoption,Cat,9,Hybrid,Lynx,Male,Neutered,2013,11,9,12,12
A714254,No Name,Transfer,Cat,1,Hybrid,Black,Male,Intact,2015,10,20,17,15
A710029,Has Name,Adoption,Dog,9,Hybrid,Brown,Female,Neutered,2015,8,22,12,43
A703985,Has Name,Transfer,Dog,156,Hybrid,Tan,Male,Neutered,2015,7,25,13,1
A719584,Has Name,Transfer,Dog,156,Hybrid,White,Male,Intact,2016,1,27,13,50
A703519,No Name,Transfer,Cat,3,Hybrid,Black,Female,Unknown,2015,5,26,13,52
A688621,Has Name,Adoption,Cat,156,Hybrid,Blue,Male,Neutered,2014,10,12,17,45
A705299,Has Name,Euthanasia,Dog,104,Hybrid,Blue,Male,Neutered,2015,11,26,9,33
A701161,Has Name,Euthanasia,Cat,676,Hybrid,Brown,Female,Neutered,2015,8,19,16,33
A701436,No Name,Transfer,Dog,4,Hybrid,Brown,Male,Intact,2015,5,3,12,36
A694626,Has Name,Adoption,Dog,9,Hybrid,White,Male,Neutered,2015,1,15,18,27
A699142,Has Name,Adoption,Cat,9,Hybrid,Blue,Female,Neutered,2015,5,4,16,50
A714564,Has Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2015,12,26,16,57
A681909,Has Name,Adoption,Dog,45,Hybrid,Brown,Male,Neutered,2014,6,26,19,6
A704100,No Name,Transfer,Dog,1,Hybrid,White,Female,Intact,2015,6,1,17,26
A678914,Has Name,Adoption,Dog,4,Hybrid,Black,Female,Neutered,2014,7,9,18,22
A715333,Has Name,Return_to_owner,Dog,104,Hybrid,White,Female,Neutered,2015,11,12,19,20
A688752,No Name,Transfer,Cat,3,Hybrid,Calico,Female,Intact,2014,9,23,13,22
A689438,Has Name,Adoption,Dog,104,Hybrid,Brown,Male,Neutered,2014,12,8,13,48
A717994,Has Name,Transfer,Dog,52,Hybrid,White,Female,Neutered,2016,1,5,0,0
A693840,Has Name,Adoption,Dog,52,Hybrid,Fawn,Female,Neutered,2015,11,25,7,34
A707601,Has Name,Adoption,Dog,52,Hybrid,White,Male,Neutered,2015,8,9,13,30
A665939,Has Name,Transfer,Cat,52,Hybrid,Black,Female,Neutered,2013,11,4,14,5
A695186,No Name,Transfer,Dog,27,Hybrid,White,Male,Intact,2015,1,10,18,37
A699904,No Name,Transfer,Cat,1,Hybrid,Blue,Female,Intact,2015,4,15,18,16
A689605,Has Name,Adoption,Cat,18,Hybrid,Torbie,Female,Neutered,2014,11,4,8,22
A716851,No Name,Euthanasia,Cat,9,Hybrid,Black,Male,Intact,2015,12,2,11,14
A714141,Has Name,Adoption,Dog,416,Hybrid,Brown,Female,Neutered,2016,1,21,13,12
A691290,Has Name,Return_to_owner,Dog,9,Hybrid,Brown,Male,Neutered,2014,11,4,17,54
A666890,No Name,Adoption,Cat,9,Hybrid,Blue,Female,Neutered,2013,11,13,17,36
A688629,No Name,Transfer,Cat,2,Hybrid,Orange,Male,Intact,2014,9,21,15,25
A706310,Has Name,Euthanasia,Cat,832,Hybrid,Black,Female,Intact,2015,6,27,13,37
A712209,No Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2015,9,23,18,40
A691600,Has Name,Adoption,Dog,104,Hybrid,Brown,Female,Neutered,2015,3,15,15,32
A690298,Has Name,Return_to_owner,Dog,52,Hybrid,Black,Male,Neutered,2014,10,23,17,35
A705843,No Name,Euthanasia,Dog,13,Hybrid,White,Female,Intact,2015,6,25,10,13
A667318,No Name,Adoption,Dog,9,Hybrid,Brown,Female,Neutered,2013,11,25,12,27
A658843,Has Name,Adoption,Dog,156,Hybrid,Brown,Male,Neutered,2015,6,8,11,59
A693123,Has Name,Adoption,Dog,104,Hybrid,Tricolor,Female,Neutered,2014,12,15,17,3
A678710,Has Name,Adoption,Cat,18,Hybrid,Orange,Male,Neutered,2014,8,12,8,26
A693202,Has Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2014,12,20,14,38
A713758,Has Name,Transfer,Cat,104,Hybrid,Black,Female,Neutered,2015,10,21,13,37
A717711,No Name,Adoption,Dog,27,Hybrid,Fawn,Female,Neutered,2015,12,19,15,58
A670573,Has Name,Adoption,Cat,9,Hybrid,Brown,Female,Neutered,2014,1,12,17,10
A662741,Has Name,Transfer,Cat,4,Hybrid,Black,Male,Intact,2013,10,5,12,42
A682296,No Name,Transfer,Cat,52,Hybrid,Orange,Male,Neutered,2014,7,5,9,0
A688701,Has Name,Adoption,Cat,9,Hybrid,White,Male,Neutered,2014,9,28,12,32
A720168,Has Name,Return_to_owner,Dog,156,Hybrid,Black,Male,Neutered,2016,2,3,18,45
A680658,Has Name,Adoption,Dog,9,Hybrid,Black,Female,Neutered,2014,6,9,17,58
A699916,No Name,Transfer,Cat,104,Hybrid,Calico,Female,Neutered,2015,4,8,14,44
A700144,Has Name,Adoption,Cat,52,Hybrid,Black,Female,Neutered,2015,8,10,15,18
A672462,Has Name,Transfer,Cat,104,Hybrid,Black,Male,Neutered,2014,2,26,16,48
A687791,Has Name,Transfer,Dog,52,Purebred,Brown,Female,Intact,2014,9,17,15,45
A718103,Has Name,Adoption,Cat,27,Hybrid,Orange,Male,Neutered,2016,1,2,18,11
A701781,No Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2015,6,9,19,10
A711349,Has Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2015,10,16,16,0
A712850,Has Name,Adoption,Dog,9,Hybrid,Black,Female,Neutered,2015,10,4,17,13
A681201,No Name,Adoption,Dog,9,Hybrid,Black,Male,Neutered,2014,6,19,11,45
A701666,Has Name,Transfer,Dog,208,Purebred,Black,Male,Intact,2015,5,19,16,34
A703612,No Name,Adoption,Cat,4,Hybrid,Brown,Female,Neutered,2015,6,30,19,10
A652259,Has Name,Transfer,Dog,52,Purebred,Cream,Male,Neutered,2014,1,18,11,58
A686008,Has Name,Adoption,Dog,52,Hybrid,Liver,Male,Neutered,2014,8,19,17,47
A693663,No Name,Adoption,Dog,104,Hybrid,Black,Female,Neutered,2014,12,16,12,1
A665428,No Name,Transfer,Cat,52,Hybrid,Black,Male,Intact,2013,10,20,13,37
A701038,Has Name,Adoption,Cat,9,Hybrid,Brown,Female,Neutered,2015,6,28,13,40
A700745,No Name,Transfer,Cat,3,Hybrid,Brown,Female,Intact,2015,4,20,14,20
A685207,No Name,Transfer,Cat,13,Hybrid,Orange,Male,Intact,2014,8,5,9,0
A716317,Has Name,Return_to_owner,Dog,364,Hybrid,Tricolor,Female,Neutered,2015,12,15,18,4
A712669,No Name,Transfer,Cat,156,Hybrid,Cream,Male,Intact,2015,9,27,9,0
A720644,Has Name,Transfer,Cat,104,Hybrid,Blue,Female,Intact,2016,2,16,13,6
A693532,No Name,Adoption,Dog,4,Hybrid,Black,Female,Neutered,2014,12,12,19,4
A697168,No Name,Transfer,Dog,260,Hybrid,Black,Male,Neutered,2015,2,28,14,56
A676892,Has Name,Adoption,Dog,45,Hybrid,Black,Male,Neutered,2014,4,26,14,15
A681269,Has Name,Transfer,Dog,9,Hybrid,Brown,Male,Intact,2014,6,18,12,32
A678662,No Name,Transfer,Cat,2,Hybrid,Black,Male,Intact,2014,5,11,15,1
A669474,Has Name,Return_to_owner,Dog,260,Hybrid,Yellow,Male,Neutered,2013,12,22,13,3
A705479,Has Name,Adoption,Dog,9,Hybrid,Brown,Female,Neutered,2015,6,21,18,20
A673387,Has Name,Adoption,Cat,22,Hybrid,Brown,Male,Neutered,2014,3,2,16,43
A668471,Has Name,Transfer,Cat,52,Hybrid,Cream,Male,Neutered,2015,3,3,16,43
A676686,Has Name,Adoption,Dog,104,Hybrid,Blue,Male,Neutered,2014,12,7,17,53
A701651,Has Name,Adoption,Dog,9,Hybrid,Brown,Male,Neutered,2015,5,6,17,0
A695787,Has Name,Return_to_owner,Dog,156,Hybrid,Brown,Male,Neutered,2015,1,23,14,36
A713149,Has Name,Adoption,Dog,52,Hybrid,Brown,Female,Neutered,2015,10,12,19,25
A703316,Has Name,Return_to_owner,Dog,104,Hybrid,Sable,Female,Neutered,2015,5,26,16,56
A698676,No Name,Transfer,Dog,208,Hybrid,Tan,Female,Neutered,2015,3,24,14,30
A702952,No Name,Adoption,Dog,9,Hybrid,Black,Male,Neutered,2015,5,25,14,29
A668526,Has Name,Adoption,Dog,9,Hybrid,White,Male,Neutered,2014,2,1,14,56
A668509,Has Name,Adoption,Dog,52,Hybrid,Blue,Male,Neutered,2014,2,13,17,30
A702208,No Name,Transfer,Cat,2,Hybrid,Black,Female,Unknown,2015,5,10,19,31
A683192,Has Name,Transfer,Dog,9,Hybrid,White,Female,Intact,2014,7,18,14,27
A702316,Has Name,Adoption,Dog,312,Hybrid,Tan,Male,Neutered,2015,5,14,18,48
A684215,No Name,Transfer,Cat,5,Purebred,Tortie,Female,Intact,2014,7,23,14,39
A715195,Has Name,Return_to_owner,Cat,36,Hybrid,Blue,Male,Neutered,2015,11,1,18,28
A680400,Has Name,Transfer,Cat,4,Hybrid,Blue,Male,Intact,2014,6,23,13,38
A716703,No Name,Transfer,Cat,18,Hybrid,Black,Female,Intact,2015,11,24,12,22
A665084,No Name,Transfer,Cat,31,Hybrid,Tortie,Female,Intact,2013,10,14,16,5
A682641,Has Name,Adoption,Cat,9,Hybrid,Seal,Female,Neutered,2014,7,4,17,24
A716811,Has Name,Return_to_owner,Dog,156,Hybrid,Brown,Male,Neutered,2015,11,27,18,46
A692255,Has Name,Return_to_owner,Cat,104,Hybrid,Orange,Male,Neutered,2014,11,28,19,7
A702420,Has Name,Adoption,Cat,9,Hybrid,Orange,Male,Neutered,2015,7,8,14,7
A692963,No Name,Transfer,Dog,9,Hybrid,White,Female,Intact,2014,11,29,14,55
A689374,Has Name,Adoption,Cat,9,Hybrid,Brown,Male,Neutered,2014,11,26,16,5
A698370,No Name,Transfer,Cat,52,Hybrid,Brown,Male,Neutered,2015,3,16,13,9
A680319,No Name,Transfer,Cat,104,Hybrid,Brown,Male,Intact,2014,6,1,8,0
A700447,Has Name,Transfer,Dog,104,Hybrid,Blue,Male,Neutered,2015,4,18,18,25
A696127,Has Name,Return_to_owner,Dog,104,Hybrid,Tan,Male,Neutered,2015,2,7,14,36
A702466,Has Name,Adoption,Dog,13,Hybrid,White,Male,Neutered,2015,5,31,16,1
A683721,No Name,Transfer,Cat,2,Hybrid,Brown,Female,Intact,2014,7,18,16,30
A708175,Has Name,Adoption,Cat,4,Hybrid,White,Female,Neutered,2015,8,23,0,0
A713434,Has Name,Transfer,Cat,13,Hybrid,Orange,Male,Neutered,2015,10,13,14,35
A669132,Has Name,Return_to_owner,Dog,40,Hybrid,Black,Male,Intact,2013,12,15,15,22
A680656,No Name,Transfer,Cat,2,Hybrid,Black,Female,Intact,2014,6,5,13,38
A719429,Has Name,Transfer,Cat,312,Hybrid,Blue,Male,Neutered,2016,2,4,18,17
A685070,No Name,Transfer,Dog,624,Hybrid,Black,Female,Neutered,2014,8,6,14,44
A717450,Has Name,Transfer,Cat,40,Hybrid,Blue,Female,Neutered,2015,12,28,14,32
A662781,Has Name,Transfer,Cat,18,Hybrid,Brown,Male,Neutered,2013,10,9,13,0
A680041,No Name,Euthanasia,Dog,624,Hybrid,Black,Female,Intact,2014,6,2,12,29
A694711,Has Name,Adoption,Dog,36,Purebred,Black,Male,Neutered,2015,1,8,17,34
A692336,Has Name,Adoption,Dog,52,Hybrid,Brown,Female,Neutered,2015,7,30,13,51
A704729,No Name,Euthanasia,Cat,2,Hybrid,Brown,Female,Unknown,2015,6,8,13,36
A669925,Has Name,Euthanasia,Cat,104,Hybrid,Orange,Male,Neutered,2013,12,30,14,51
A688973,Has Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2014,10,5,17,52
A690456,Has Name,Euthanasia,Dog,208,Hybrid,Red,Female,Intact,2014,10,24,15,26
A689862,Has Name,Adoption,Dog,52,Hybrid,Tan,Male,Neutered,2014,10,18,17,25
A680820,No Name,Adoption,Cat,9,Hybrid,Cream,Male,Neutered,2014,6,14,17,2
A427866,Has Name,Euthanasia,Dog,416,Hybrid,Black,Male,Neutered,2014,5,15,12,3
A677703,No Name,Transfer,Cat,1,Hybrid,Blue,Male,Intact,2014,4,28,10,37
A679739,Has Name,Adoption,Dog,45,Hybrid,Brown,Female,Neutered,2014,6,1,14,16
A679217,No Name,Transfer,Cat,13,Hybrid,Blue,Female,Intact,2014,5,17,8,0
A714491,Has Name,Return_to_owner,Dog,520,Hybrid,Tan,Female,Neutered,2015,10,24,12,50
A673258,Has Name,Adoption,Dog,18,Hybrid,Tan,Female,Neutered,2014,2,25,18,43
A675901,Has Name,Transfer,Dog,156,Hybrid,Brown,Male,Neutered,2014,4,11,12,50
A698858,Has Name,Euthanasia,Dog,156,Hybrid,White,Female,Neutered,2015,7,24,9,40
A689185,Has Name,Adoption,Dog,4,Hybrid,Brown,Female,Neutered,2014,10,22,17,22
